code,name,mktcap_raw,market_cap_yuan
000672,上峰水泥,1827310.42325,18273104232.5
300959,线上线下,1824268.6922,18242686922.0
000966,长源电力,1824062.348384,18240623483.84
600888,新疆众和,1821769.818177,18217698181.77
301392,汇成真空,1820500.0,18205000000.0
000723,美锦能源,1818644.692172,18186446921.72
688798,艾为电子,1818403.3608,18184033608.0
605289,罗曼股份,1818354.1075,18183541075.0
301275,汉朔科技,1817587.2,18175872000.0
600110,诺德股份,1814999.254872,18149992548.72
600655,豫园股份,1813303.106478,18133031064.78
600959,江苏有线,1810259.802332,18102598023.32
301128,强瑞技术,1810077.407222,18100774072.22
301319,唯特偶,1808803.776804,18088037768.04
603025,大豪科技,1804514.113168,18045141131.68
002534,西子洁能,1799768.436081,17997684360.809998
920982,锦波生物,1799046.5909,17990465909.0
300655,晶瑞电材,1797233.10825,17972331082.5
688584,上海合晶,1796120.324768,17961203247.68
605198,安德利,1794589.56,17945895600.0
603997,继峰股份,1792621.193376,17926211933.760002
600552,凯盛科技,1791919.277918,17919192779.18
688535,华海诚科,1791782.255067,17917822550.67
600343,航天动力,1791445.218836,17914452188.36
002396,星网锐捷,1791105.54606,17911055460.600002
603283,赛腾股份,1790019.791833,17900197918.33
600057,厦门象屿,1789571.28357,17895712835.7
301498,乖宝宠物,1786509.33924,17865093392.399998
002439,启明星辰,1783181.10176,17831811017.6
300457,赢合科技,1780695.22128,17806952212.8
688206,概伦电子,1779058.752625,17790587526.25
688063,XD派能科,1775419.525764,17754195257.64
002979,雷赛智能,1774834.801845,17748348018.45
603738,泰晶科技,1773924.800724,17739248007.239998
601966,玲珑轮胎,1770838.24643,17708382464.3
300253,卫宁健康,1769823.131004,17698231310.04
688392,骄成超声,1768868.67424,17688686742.4
600820,隧道股份,1766982.004828,17669820048.28
603613,国联股份,1765317.64185,17653176418.5
688717,艾罗能源,1764320.0,17643200000.0
300144,宋城演艺,1763785.18848,17637851884.8
300083,创世纪,1759759.756573,17597597565.73
688363,华熙生物,1758125.5833,17581255833.0
688779,五矿新能,1755589.836,17555898360.0
300913,兆龙互连,1755039.3344,17550393344.0
300118,东方日升,1752201.307431,17522013074.31
600062,华润双鹤,1750011.531035,17500115310.35
001696,宗申动力,1747311.07992,17473110799.2
600744,华银电力,1746766.87564,17467668756.4
600933,爱柯迪,1746075.951975,17460759519.75
300179,四方达,1745691.80442,17456918044.2
000685,中山公用,1745056.728233,17450567282.33
600619,海立股份,1742037.970938,17420379709.379997
002181,粤 传 媒,1741587.261,17415872610.0
