code,name,market_cap
000949,新乡化纤,11747420446.98
000950,重药控股,10040753083.76
000951,中国重汽,24291715081.78
000958,电投产融,107192204245.59001
000959,首钢股份,28150531553.1
000960,锡业股份,62378325300.31999
000962,东方钽业,33662507794.12
000963,华东医药,50349784906.08
000966,长源电力,18553916635.28
000967,盈峰环境,36355230552.2
000969,安泰科技,26945822533.05
000970,中科三环,14333406863.67
000973,佛塑科技,37193122269.58
000975,山金国际,63629504656.2
000977,浪潮信息,93820973487.95001
000980,众泰汽车,14018282714.42
000981,山子高科,36590743450.079994
000983,山西焦煤,38831371243.560005
000987,越秀资本,39535003800.56
000988,华工科技,163846666105.65
000990,诚志股份,11872870716.949999
000997,新 大 陆,22105796505.300003
000998,隆平高科,12549086440.94
000999,华润三九,40390567413.659996
001203,大中矿业,59514182486.7
001208,华菱线缆,10475330589.12
001212,中旗新材,10709138362.960001
001213,中铁特货,16711111109.44
001221,悍高集团,20276506900.0
001227,兰州银行,12017921024.480001
001237,C惠康,11808773828.0
001257,盛龙股份,52067565170.12
001267,汇绿生态,45154820631.78
001270,铖昌科技,32957772669.899998
001280,中国铀业,152838636350.2
001286,陕西能源,46875000000.0
001287,中电港,20638886634.52
001289,龙源电力,152650243154.63998
001301,尚太科技,23855590954.5
001308,康冠科技,15313985579.25
001309,德明利,149035328849.42
001330,博纳影业,12191983388.080002
001331,胜通能源,19694707200.0
001337,四川黄金,21033600000.0
001339,智微智能,25589836572.3
001359,平安电工,18149629663.6
001365,天海电子,24753750000.0
001369,双欣材料,16757670000.0
001386,马可波罗,19357704000.0
001389,广合科技,84339958374.0
001391,国货航,62997827121.0
001393,维通利,18089133381.7
001696,宗申动力,17209754607.6
001872,招商港口,53857168914.5
001896,豫能控股,24977040372.100002
001914,招商积余,10136785033.960001
001965,招商公路,68086851819.84
001979,招商蛇口,75824830558.11
002001,新 和 成,92909537386.4
002003,伟星股份,10842673635.36
002007,华兰生物,24500773032.12
002008,大族激光,137071101707.04
002010,传化智联,14925766903.2
002011,盾安环境,13766614150.59
002015,协鑫能科,36443637584.3
002019,亿帆医药,12759931991.650002
002020,京新药业,11382805230.8
002025,航天电器,32130344131.2
002027,分众传媒,77699034525.88
002028,思源电气,155402629257.02
002031,巨轮智能,14120120201.4
002032,苏 泊 尔,36017162464.68
002034,旺能环境,10690547890.07
002036,联创电子,10226973201.519999
002043,兔 宝 宝,10844891053.599998
002044,美年健康,23054955606.47
002046,国机精工,28632591603.600002
002048,宁波华翔,22583869135.5
002049,紫光国微,72328858200.56
002050,三花智控,201563867486.5
002051,中工国际,13062045494.25
002053,云南能投,10551559657.439999
002056,横店东磁,42522253614.36
002060,广东建工,12990200617.32
002062,宏润建设,10479684429.83
002063,远光软件,11509675676.67
002064,华峰化学,51163827578.07
002065,东华软件,24073172636.25
002074,国轩高科,60939685203.86
002077,大港股份,10672609154.070002
002078,太阳纸业,38704311398.15
002079,苏州固锝,12087161359.13
002080,中材科技,122788302641.28
002081,金 螳 螂,14657386763.279999
002085,万丰奥威,25882996768.800003
002091,江苏国泰,14421560216.0
002092,中泰化学,12173091729.900002
002096,易普力,12540856184.7
002115,三维通信,10186051129.92
002120,韵达股份,20236425255.48
002121,科陆电子,13604453902.08
002126,银轮股份,44440383498.24
002128,电投能源,67628272283.810005
002129,TCL中环,42331422143.31
002130,沃尔核材,30405553502.64
002131,利欧股份,39953494347.700005
002138,顺络电子,39251577472.72
002139,拓邦股份,13465817870.400002
002142,宁波银行,202466093682.72
002145,钛能化学,17358425154.48
002149,西部材料,31709517096.3
002150,正泰电源,12045800644.14
002151,北斗星通,19805390106.24
002152,广电运通,26398360205.74
002153,石基信息,22352097557.79
002155,湖南黄金,37675523228.76
002156,通富微电,105321225692.8
002157,正邦科技,29415517033.02
002158,汉钟精机,17560340724.760002
002167,东方锆业,10698238273.0
002169,智光电气,14221733387.98
002170,芭田股份,11042602425.66
002171,楚江新材,19394107570.4
002174,游族网络,11169845023.8
002176,江特电机,20168768367.42
002179,中航光电,82029143713.14
002180,奔图科技,23645846489.49
002181,粤 传 媒,17520367845.66
002182,宝武镁业,14638843322.28
002183,怡 亚 通,16828618909.68
002185,华天科技,70141495509.59999
002190,成飞集成,10076707244.87
002192,融捷股份,20977543850.37
002195,岩山科技,43379743424.4
